scientificName,commonName,taxon,leadOffice,status
Isoetes hyemalis,Evergreen Quillwort,Vascular Plant,Raleigh,Petitioned
Allocapnia fumosa,Smokies snowfly,Stonefly,Cookeville,Petitioned
Allocapnia cunninghami,Karst snowfly,Stonefly,Cookeville,Petitioned
Amphinemura mockfordi,Tennessee forestfly,Stonefly,Cookeville,Petitioned
Leuctra szczytkoi,Schoolhouse Springs Leuctran stonefly,Stonefly,Lafayette,Petitioned
Megaleuctra williamsae,Smokies needlefly,Stonefly,Cookeville,Petitioned
Tallaperla lobata,Lobed roachfly,Stonefly,Region 5,Petitioned
Aeschynomene pratensis,Meadow Joint-vetch,Vascular Plant,South Florida,Petitioned
Alnus maritima,Seaside alder,Vascular Plant,Region 5,Petitioned
Amorpha georgiana var georgiana,Georgia lead-plant,Vascular Plant,Raleigh,Petitioned
Elliptio arctata,Delicate spike,Mussel,Daphne,Petitioned
Somatogyrus alcoviensis,Reverse pebblesnail,Snail,Athens,Petitioned
Solidago arenicola,Southern Racemose Goldenrod,Vascular Plant,Daphne,Petitioned
Hypericum lissophloeus,Smooth-barked St. John's-wort,Vascular Plant,Panama City,Petitioned
Rhynchospora crinipes,Hairy-Peduncled beaked-rush,Vascular Plant,Jackson,Petitioned
Rudbeckia auriculata,Eared Coneflower,Vascular Plant,Daphne,Petitioned
Rudbeckia heliopsidis,Sun-facing Coneflower,Vascular Plant,Daphne,Petitioned
Salix floridana,Florida Willow,Vascular Plant,Jacksonville,Petitioned
Sarracenia purpurea var. montana,No Common Name,Vascular Plant,Asheville,Petitioned
Sarracenia rubra ssp. gulfensis,Gulf Sweet pitcherplant,Vascular Plant,Panama City,Petitioned
Sarracenia rubra ssp. wherryi,Wherry's Sweet Pitcherplant,Vascular Plant,Jackson,Petitioned
Schoenoplectus hallii,Hall's bulrush,Vascular Plant,Region 3,Petitioned
Rhexia salicifolia,Panhandle meadowbeauty,Vascular Plant,Panama City,Petitioned
Sideroxylon thornei,Georgia Bully,Vascular Plant,Athens,Petitioned
Rhexia parviflora,White meadowbeauty,Vascular Plant,Panama City,Petitioned
Sporobolus teretifolius,Wireleaf dropseed,Vascular Plant,Raleigh,Petitioned
Arenaria fontinalis,Water Stitchwort,Vascular Plant,Cookeville,Petitioned
Aster puniceus var. scabricaulis,Rough-Stemmed aster,Vascular Plant,Region 2,Petitioned
Thalictrum debile,Southern Meadow-rue,Vascular Plant,Jackson,Petitioned
Trillium pusillum texanum,Texas Trillium,Vascular Plant,Lafayette,Petitioned
Tsuga caroliniana,Carolina Hemlock,Vascular Plant,Asheville,Petitioned
Vicia ocalensis,Ocala Vetch,Vascular Plant,Jacksonville,Petitioned
Waldsteinia lobata,Piedmont barren strawberry,Vascular Plant,Athens,Petitioned
Xyris longisepala,Karst Pond xyris,Vascular Plant,Panama City,Petitioned
Procambarus lucifugus,Florida Cave crayfish,Crayfish,Jacksonville,Petitioned
Scutellaria ocmulgee,[Unnamed] skullcap,Vascular Plant,Athens,Petitioned
Marshallia grandiflora,Large-flowered Barbara's buttons,Vascular Plant,Region 5,Petitioned
Isoetes microvela,Thin-wall Quillwort,Vascular Plant,Raleigh,Petitioned
Lilium iridollae,Panhandle Lily,Vascular Plant,Panama City,Petitioned
Lindera subcoriacea,Bog Spicebush,Vascular Plant,Jackson,Petitioned
Linum westii,West's Flax,Vascular Plant,Panama City,Petitioned
Lobelia boykinii,Boykin's Lobelia,Vascular Plant,Athens,Petitioned
Ludwigia brevipes,Long Beach Seedbox,Vascular Plant,Raleigh,Petitioned
Ludwigia spathulata,Spathulate Seedbox,Vascular Plant,Athens,Petitioned
Ludwigia ravenii,Raven's Seedbox,Vascular Plant,Raleigh,Petitioned
Lythrum curtissii,Curtiss' Loosestrife,Vascular Plant,Jacksonville,Petitioned
Rhynchospora thornei,Thorne's beaked-rush,Vascular Plant,Jacksonville,Petitioned
Macbridea caroliniana,Carolina Birds-in-a-nest,Vascular Plant,Charleston,Petitioned
Arnoglossum diversifolium,Variableleaf Indian plantain,Vascular Plant,Panama City,Petitioned
Minuartia godfreyi,Godfry's Stitchwort,Vascular Plant,Region 4,Petitioned
Najas filifolia,Narrowleaf Naiad,Vascular Plant,Jacksonville,Petitioned
Nuphar lutea ssp. sagittifolia,Yellow pond-lily,Vascular Plant,Raleigh,Petitioned
Nuphar lutea ssp. ulvacea,West Florida Cow-lily,Vascular Plant,Panama City,Petitioned
Nyssa ursina,Bear gum,Vascular Plant,Panama City,Petitioned
Oncidium undulatum,Cape Sable orchid,Vascular Plant,South Florida,Petitioned
Physostegia correllii,Correll's false dragon-head,Vascular Plant,Lafayette,Petitioned
Potamogeton floridanus,Florida Pondweed,Vascular Plant,Panama City,Petitioned
Potamogeton tennesseensis,Tennessee Pondweed,Vascular Plant,Region 5,Petitioned
Ptilimnium ahlesii,Carolina Bishopweed,Vascular Plant,Charleston,Petitioned
Lythrum flagellare,Lowland Loosestrife,Vascular Plant,South Florida,Petitioned
Clonophis kirtlandii,Kirtland's snake,Reptile,Region 5,Petitioned
Toxolasma pullus,Savannah lilliput,Mussel,Athens,Petitioned
Villosa nebulosa,Alabama rainbow,Mussel,Daphne,Petitioned
Villosa ortmanni,Kentucky creekshell,Mussel,Frankfort,Petitioned
Villosa vanuxemensis umbrans,Coosa creekshell,Mussel,Daphne,Petitioned
Leptoxis virgata,Smooth rocksnail,Snail,Region 5,Petitioned
Fissidens hallii,Hall's Pocket moss,Non-Vascular Plant,Asheville,Petitioned
Megaceros aenigmaticus,Hornwort,Non-Vascular Plant,Asheville,Petitioned
Phaeophyscia leana,Lea's Bog lichen,Non-Vascular Plant,Frankfort,Petitioned
Pseudemys rubriventris,Northern Red-bellied cooter,Reptile,Region 4,Petitioned
Plagiochila sharpii ssp. sharpii,Sharp's Leafy liverwort,Non-Vascular Plant,Asheville,Petitioned
Quadrula asperata archeri,Tallapoosa orb,Mussel,Daphne,Petitioned
Deirochelys reticularia miaria,Western Chicken turtle,Reptile,Region 2,Petitioned
Eumeces egregius egregius,Florida Keys Mole skink,Reptile,South Florida,Petitioned
Graptemys barbouri,Barbour's Map turtle,Reptile,Panama City,Petitioned
Graptemys ernsti,Escambia Map turtle,Reptile,Daphne,Petitioned
Graptemys gibbonsi,Pascagoula Map turtle,Reptile,Jackson,Petitioned
Graptemys nigrinoda,Black-knobbed Map turtle,Reptile,Jackson,Petitioned
Graptemys pulchra,Alabama Map turtle,Reptile,Daphne,Petitioned
Pseudemys nelsoni pop. 1,Florida Red-bellied Turtle - FL Panhandle,Reptile,Panama City,Petitioned
Plagiochila caduciloba,Gorge Leafy liverwort,Non-Vascular Plant,Asheville,Petitioned
Medionidus walkeri,Suwannee moccasinshell,Mussel,Panama City,Petitioned
Elliptio fraterna,Brother spike,Mussel,Panama City,Petitioned
Elliptio lanceolata,Yellow lance,Mussel,Raleigh,Petitioned
Elliptio monroensis,St. John's elephantear,Mussel,Jacksonville,Petitioned
Elliptio purpurella,Inflated spike,Mussel,Panama City,Petitioned
Ambystoma barbouri,Streamside salamander,Amphibian,Frankfort,Petitioned
Fusconaia masoni,Atlantic pigtoe,Mussel,Raleigh,Petitioned
Lampsilis fullerkati,Waccamaw fatmucket,Mussel,Raleigh,Petitioned
Lasmigona holstonia,Tennessee heelsplitter,Mussel,Asheville,Petitioned
Toxolasma lividus,Purple lilliput,Mussel,Asheville,Petitioned
Medionidus conradicus,Cumberland moccasinshell,Mussel,Asheville,Petitioned
Simpsonaias ambigua,Salamander mussel,Mussel,Region 5,Petitioned
Obovaria subrotunda,Round hickorynut,Mussel,Asheville,Petitioned
Obovaria unicolor,Alabama hickorynut,Mussel,Daphne,Petitioned
Pleurobema athearni,Canoe Creek pigtoe,Mussel,Daphne,Petitioned
Pleurobema oviforme,Tennessee clubshell,Mussel,Asheville,Petitioned
Pleurobema rubellum,Warrior pigtoe,Mussel,Daphne,Petitioned
Pleurobema rubrum,Pink pigtoe,Mussel,Asheville,Petitioned
Pleuronaia barnesiana,Tennessee pigtoe,Mussel,Asheville,Petitioned
Pyganodon gibbosa,Inflated floater,Mussel,Athens,Petitioned
Fissidens appalachensis,Appalachian Fissidens moss,Non-Vascular Plant,Asheville,Petitioned
Lasmigona subviridis,Green floater,Mussel,Region 5,Petitioned
Elimia olivula,Caper elimia,Snail,Daphne,Petitioned
Elimia acuta,Acute elimia,Snail,Cookeville,Petitioned
Elimia alabamensis,Mud elimia,Snail,Daphne,Petitioned
Elimia ampla,Ample elimia,Snail,Daphne,Petitioned
Elimia annettae,Lily Shoals elimia,Snail,Daphne,Petitioned
Elimia arachnoidea,Spider elimia,Snail,Region 5,Petitioned
Elimia bellacrenata,Princess elimia,Snail,Daphne,Petitioned
Elimia bellula,Walnut elimia,Snail,Daphne,Petitioned
Elimia chiltonensis,Prune elimia,Snail,Daphne,Petitioned
Elimia cochliaris,Cockle elimia,Snail,Daphne,Petitioned
Aphaostracon theiocrenetum,Clifton Spring hydrobe,Snail,Jacksonville,Petitioned
Elimia lachryma,Nodulose Coosa River snail,Snail,Daphne,Petitioned
Elimia nassula,Round-Rib elimia,Snail,Daphne,Petitioned
Elimia showalteri,Compact elimia,Snail,Daphne,Petitioned
Elimia teres,Elegant elimia,Snail,Cookeville,Petitioned
Elimia vanuxemiana,Cobble elimia,Snail,Daphne,Petitioned
Floridobia mica,Ichetucknee siltsnail,Snail,Jacksonville,Petitioned
Floridobia monroensis,Enterprise siltsnail,Snail,Jacksonville,Petitioned
